Date,Open,High,Low,Close,Volume
2026-03-02,8593.391195387569,8664.305139922571,8442.699063250686,8610.134765625,11648300
2026-03-03,8470.276998973859,8534.29653443122,8379.66473340344,8458.4580078125,8095200
2026-03-04,8458.457867085153,8715.52092056783,8455.503119343972,8570.73828125,11323900
2026-03-05,8652.4865391044,8688.92842891053,8417.091629275606,8447.6240234375,10366600
2026-03-06,8452.548550907259,8663.320560915898,8452.548550907259,8549.0703125,7387900
2026-03-09,8374.740182290154,8481.111103104846,8290.037412011787,8476.1865234375,13031300
2026-03-10,8721.430863229853,9010.996156712583,8673.16998098273,8982.43359375,18400600
2026-03-11,9713.240458359029,9937.801280150334,9460.117075901284,9782.1845703125,32505800
2026-03-12,9782.18481604064,10070.765177609297,9588.156381811885,9996.896484375,18848400
2026-03-13,9849.159315374267,10267.748586277672,9814.687257770456,10065.8408203125,15872300
2026-03-16,10272.672631110767,10277.597210512067,9844.23422319771,9947.650390625,16856400
2026-03-17,10021.519163795983,10026.443743237653,9606.869574807472,9671.8740234375,10822600
2026-03-18,9654.145924924243,9780.215163690853,9487.695133115205,9710.2861328125,10920400
2026-03-19,9553.684732638176,9761.501998471851,9553.684732638176,9587.171875,10748500
2026-03-23,9291.696394256256,9390.187982069021,9136.079685512086,9289.7265625,9610200
2026-03-24,9356.700975345058,9374.429461403606,8701.731907070904,8848.484375,15118500
2026-03-25,8753.932657641983,8996.221972873747,8726.355012005846,8844.544921875,11367400
2026-03-26,8765.752094340934,8956.825791678253,8760.827514512654,8854.39453125,7076900
2026-03-27,8992.282148670645,9169.567010309278,8976.523494302766,9076.0,9073300
2026-03-30,9033.0,9052.0,8775.0,8899.0,8175000
2026-03-31,8969.0,9050.0,8771.0,8775.0,7842400
2026-04-01,8884.0,9075.0,8860.0,9005.0,7542000
2026-04-02,9010.0,9020.0,8638.0,8762.0,9008300
2026-04-03,8798.0,8859.0,8724.0,8736.0,5521500
